Survived,PassengerClass,Sex,Age,SiblingsSpouses,ParentsChildren,TicketFare,Title,Deck,FamilySize,IsAlone,Port
0,3,male,22.0,1,0,7.25,Mr,Unknown,2,0,Southampton
1,1,female,38.0,1,0,71.2833,Mrs,C,2,0,Cherbourg
1,3,female,26.0,0,0,7.925,Miss,Unknown,1,1,Southampton
1,1,female,35.0,1,0,53.1,Mrs,C,2,0,Southampton
0,3,male,35.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,3,male,25.0,0,0,8.4583,Mr,Unknown,1,1,Queenstown
0,1,male,54.0,0,0,51.8625,Mr,E,1,1,Southampton
0,3,male,2.0,3,1,21.075,Master,Unknown,5,0,Southampton
1,3,female,27.0,0,2,11.1333,Mrs,Unknown,3,0,Southampton
1,2,female,14.0,1,0,30.0708,Mrs,Unknown,2,0,Cherbourg
1,3,female,4.0,1,1,16.7,Miss,G,3,0,Southampton
1,1,female,58.0,0,0,26.55,Miss,C,1,1,Southampton
0,3,male,20.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,3,male,39.0,1,5,31.275,Mr,Unknown,7,0,Southampton
0,3,female,14.0,0,0,7.8542,Miss,Unknown,1,1,Southampton
1,2,female,55.0,0,0,16.0,Mrs,Unknown,1,1,Southampton
0,3,male,2.0,4,1,29.125,Master,Unknown,6,0,Queenstown
1,2,male,30.0,0,0,13.0,Mr,Unknown,1,1,Southampton
0,3,female,31.0,1,0,18.0,Mrs,Unknown,2,0,Southampton
1,3,female,21.5,0,0,7.225,Mrs,Unknown,1,1,Cherbourg
0,2,male,35.0,0,0,26.0,Mr,Unknown,1,1,Southampton
1,2,male,34.0,0,0,13.0,Mr,D,1,1,Southampton
1,3,female,15.0,0,0,8.0292,Miss,Unknown,1,1,Queenstown
1,1,male,28.0,0,0,35.5,Mr,A,1,1,Southampton
0,3,female,8.0,3,1,21.075,Miss,Unknown,5,0,Southampton
1,3,female,38.0,1,5,31.3875,Mrs,Unknown,7,0,Southampton
0,3,male,25.0,0,0,7.225,Mr,Unknown,1,1,Cherbourg
0,1,male,19.0,3,2,263.0,Mr,C,6,0,Southampton
1,3,female,21.5,0,0,7.8792,Miss,Unknown,1,1,Queenstown
0,3,male,25.0,0,0,7.8958,Mr,Unknown,1,1,Southampton
0,1,male,40.0,0,0,27.7208,Other,Unknown,1,1,Cherbourg
1,1,female,35.0,1,0,146.5208,Mrs,B,2,0,Cherbourg
1,3,female,21.5,0,0,7.75,Miss,Unknown,1,1,Queenstown
0,2,male,66.0,0,0,10.5,Mr,Unknown,1,1,Southampton
0,1,male,28.0,1,0,82.1708,Mr,Unknown,2,0,Cherbourg
0,1,male,42.0,1,0,52.0,Mr,Unknown,2,0,Southampton
1,3,male,25.0,0,0,7.2292,Mr,Unknown,1,1,Cherbourg
0,3,male,21.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,3,female,18.0,2,0,18.0,Miss,Unknown,3,0,Southampton
1,3,female,14.0,1,0,11.2417,Miss,Unknown,2,0,Cherbourg
0,3,female,40.0,1,0,9.475,Mrs,Unknown,2,0,Southampton
0,2,female,27.0,1,0,21.0,Mrs,Unknown,2,0,Southampton
0,3,male,25.0,0,0,7.8958,Mr,Unknown,1,1,Cherbourg
1,2,female,3.0,1,2,41.5792,Miss,Unknown,4,0,Cherbourg
1,3,female,19.0,0,0,7.8792,Miss,Unknown,1,1,Queenstown
0,3,male,25.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,3,male,25.0,1,0,15.5,Mr,Unknown,2,0,Queenstown
1,3,female,21.5,0,0,7.75,Miss,Unknown,1,1,Queenstown
0,3,male,25.0,2,0,21.6792,Mr,Unknown,3,0,Cherbourg
0,3,female,18.0,1,0,17.8,Mrs,Unknown,2,0,Southampton
0,3,male,7.0,4,1,39.6875,Master,Unknown,6,0,Southampton
0,3,male,21.0,0,0,7.8,Mr,Unknown,1,1,Southampton
1,1,female,49.0,1,0,76.7292,Mrs,D,2,0,Cherbourg
1,2,female,29.0,1,0,26.0,Mrs,Unknown,2,0,Southampton
0,1,male,65.0,0,1,61.9792,Mr,B,2,0,Cherbourg
1,1,male,40.0,0,0,35.5,Mr,C,1,1,Southampton
1,2,female,21.0,0,0,10.5,Miss,Unknown,1,1,Southampton
0,3,male,28.5,0,0,7.2292,Mr,Unknown,1,1,Cherbourg
1,2,female,5.0,1,2,27.75,Miss,Unknown,4,0,Southampton
0,3,male,11.0,5,2,46.9,Master,Unknown,8,0,Southampton
0,3,male,22.0,0,0,7.2292,Mr,Unknown,1,1,Cherbourg
1,1,female,38.0,0,0,80.0,Miss,B,1,1,Southampton
0,1,male,45.0,1,0,83.475,Mr,C,2,0,Southampton
0,3,male,4.0,3,2,27.9,Master,Unknown,6,0,Southampton
0,1,male,40.0,0,0,27.7208,Mr,Unknown,1,1,Cherbourg
1,3,male,25.0,1,1,15.2458,Master,Unknown,3,0,Cherbourg
1,2,female,29.0,0,0,10.5,Mrs,F,1,1,Southampton
0,3,male,19.0,0,0,8.1583,Mr,Unknown,1,1,Southampton
1,3,female,17.0,4,2,7.925,Miss,Unknown,7,0,Southampton
0,3,male,26.0,2,0,8.6625,Mr,Unknown,3,0,Southampton
0,2,male,32.0,0,0,10.5,Mr,Unknown,1,1,Southampton
0,3,female,16.0,5,2,46.9,Miss,Unknown,8,0,Southampton
0,2,male,21.0,0,0,73.5,Mr,Unknown,1,1,Southampton
0,3,male,26.0,1,0,14.4542,Mr,Unknown,2,0,Cherbourg
1,3,male,32.0,0,0,56.4958,Mr,Unknown,1,1,Southampton
0,3,male,25.0,0,0,7.65,Mr,F,1,1,Southampton
0,3,male,25.0,0,0,7.8958,Mr,Unknown,1,1,Southampton
0,3,male,25.0,0,0,8.05,Mr,Unknown,1,1,Southampton
1,2,male,0.83,0,2,29.0,Master,Unknown,3,0,Southampton
1,3,female,30.0,0,0,12.475,Miss,Unknown,1,1,Southampton
0,3,male,22.0,0,0,9.0,Mr,Unknown,1,1,Southampton
1,3,male,29.0,0,0,9.5,Mr,Unknown,1,1,Southampton
1,3,female,21.5,0,0,7.7875,Miss,Unknown,1,1,Queenstown
0,1,male,28.0,0,0,47.1,Mr,Unknown,1,1,Southampton
1,2,female,17.0,0,0,10.5,Miss,Unknown,1,1,Southampton
1,3,female,33.0,3,0,15.85,Mrs,Unknown,4,0,Southampton
0,3,male,16.0,1,3,34.375,Mr,Unknown,5,0,Southampton
